Feature,Importance
runs_std,0.10160312056541443
is_all_rounder,0.10151112079620361
economy_mean,0.08347880840301514
fours_mean,0.051921308040618896
balls_mean,0.04203447699546814
maidens_mean,0.041297465562820435
runs_max,0.0378606915473938
boundary_rate,0.031937360763549805
wickets_sum,0.027259886264801025
balls_sum,0.02624550461769104
runs_sum,0.022129744291305542
runs_mean,0.016943737864494324
maidens_sum,0.01135002076625824
batting_specialist,0.01114732027053833
batting_points_mean,0.010710522532463074
bowling_points_max,0.01060764491558075
sixes_mean,0.010157778859138489
wickets_mean,0.008730307221412659
bowling_points_mean,0.008574768900871277
bowling_specialist,0.008409082889556885
economy_std,0.005023524165153503
batting_points_max,0.0023553073406219482
temperature,0.0
is_day_match,0.0
total_points_consistency,-0.0014903992414474487
runs_consistency,-0.0020056068897247314
overs_mean,-0.006752327084541321
runs_conceded_sum,-0.012152343988418579
wicket_rate,-0.018305137753486633
sixes_sum,-0.02391919493675232
